mz,RT,QC06,QC07,QC08,QC09,QC10,QC11,QC12,QC13,QC14,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18
483.1014404,7.103066667,88595.90202,86593.37323,106483.5266,72730.42822,73785.85726,61293.83044,78053.18376,60353.17149,61979.63857,170465.4263,170699.01,159870.5115,148838.6168,157002.101,152191.2677,160987.3803,173601.2748,180525.265,148403.9026,143266.312,191898.63,181605.7593,191870.7711,196461.0154,174913.7407,127417.8193,177547.7402
212.9532832,0.690516667,24719.34782,19937.08658,24083.61649,18555.44788,19748.51178,16829.76342,17279.00573,14721.24091,14812.88189,9854.430096,9501.477971,12147.04362,9882.181659,9296.775045,9114.283092,23219.1353,22572.13936,24867.3902,21530.17531,20566.45089,21354.52193,20504.77317,29816.16753,26285.60526,23408.15684,23069.92213,20650.71957
333.0399173,3.9838,66677.55712,71143.74847,65444.47144,69835.53135,66115.71381,63363.94029,54108.13504,58430.96694,49127.64845,2469.505493,4846.765768,4605.371155,6837.70538,14947.62329,3726.114136,108182.2413,74270.91928,81818.3205,77735.26904,53400.61786,47224.19417,78160.48723,69435.20424,72593.49756,67805.01496,91624.49229,93313.9364
367.2305826,8.539583333,62036.59442,59917.06836,60122.31197,43124.73999,47369.78392,47489.90255,40004.22734,52139.88915,43709.98608,141884.3259,92923.20056,109000.1405,113003.4447,109137.1606,118041.058,111736.191,121996.6857,147586.7062,114969.9753,115808.135,126230.4151,101321.9618,118112.6107,135819.8129,113773.2427,119647.0512,96794.03213
271.2266942,9.15875,80206.33691,89267.04736,84598.27981,80470.69312,78038.03674,78623.14246,71712.81873,65432.92809,72436.6402,48653.47282,64832.92347,46935.93821,42182.39038,41778.45319,46677.05717,104825.4847,119646.2336,141907.455,100254.0325,106418.8525,98885.27563,102502.7823,123197.6863,125759.3612,106966.1504,97038.11279,92298.35311
171.0048149,0.63335,55797.65011,57432.08733,59109.25416,49012.72165,52732.93235,54215.09223,48430.68469,51567.51172,48477.53084,33066.71691,20982.68556,18516.68683,15343.5495,25101.17355,16498.53668,84817.71704,87747.34082,79499.08032,89375.16713,82267.30042,91097.47326,53682.00083,58154.38346,67727.81812,48621.28693,59348.4781,41322.98968
415.9925863,3.9838,109564.3695,119327.0608,120471.0535,121170.7685,122837.3568,107015.6891,93359.84373,86149.93815,90198.51158,23248.24757,14484.36139,11105.85526,34294.11388,23017.0074,8501.864799,162185.864,123104.2909,141470.0693,147327.4899,83963.37927,96247.02252,140973.9759,122441.1369,139517.597,113162.307,158386.8635,145042.3437
249.1516924,7.7761,587050.5924,589186.0876,602386.9868,624167.232,577725.7606,561461.5544,509824.0187,531483.2556,507421.4542,908425.0073,898425.701,1034997.432,923520.7495,861032.9265,892431.9584,933312.6686,976031.3004,1076553.57,918624.7426,848855.2218,1022724.339,895262.468,1027622.707,1190610.71,955555.2466,826031.5695,989756.1567
478.9692613,3.9838,17134.07051,11105.62818,18192.07903,15754.84882,17872.84847,7081.060635,9519.264667,11013.23267,8622.892157,1488.355275,1422.733146,969.0748298,2561.042462,2992.188022,708.952391,17520.466,16992.80437,14577.60111,12454.51908,14217.46546,10262.78273,12703.34938,13345.30482,16660.8926,15903.42396,16187.19946,13416.73279
271.0689786,3.9838,300900.0339,313007.8689,300794.0912,312923.5196,295446.1251,285672.8357,250100.8901,240585.3311,240629.0647,66845.18818,48221.17203,43886.7876,107420.7588,102951.5801,45103.30602,428624.5962,323808.2176,349757.4228,379808.3725,240435.3914,257653.0562,353995.3322,305693.3184,346529.4535,332747.1406,407774.064,419798.755
203.0811471,3.9838,282992.1283,283804.6768,268941.0147,284283.1322,273499.2129,253702.5264,250189.0283,228207.1091,225794.1148,63215.87431,42056.35199,38600.38278,103892.9344,84941.4884,42419.79755,416986.4208,301531.8273,331463.0542,370890.2465,229698.1348,237004.3008,328690.4928,284938.9757,321047.97,301995.9187,407375.7456,386673.6853
337.9763041,3.969516667,85720.12926,80129.82168,74121.22101,74531.88153,72333.24424,57733.11468,52557.98257,52553.21789,48722.51782,17433.64646,11231.40934,14687.88693,26085.38456,18184.30879,8065.098863,105063.2049,72623.60938,77185.28516,79193.98601,52224.35635,51909.86799,85054.14383,81123.6293,79156.31968,64888.55641,94967.12064,81484.2505
483.9798571,3.9838,143355.9304,147225.5874,137171.3306,150141.9753,138081.3701,135024.798,117957.1483,101062.8394,111678.977,21062.0035,17069.39178,17683.40088,47309.19401,38801.66852,12682.46625,190858.0687,153145.5156,160963.4969,160945.1893,102156.7534,121386.6719,163699.5664,136393.612,161896.6577,128984.7737,171867.5123,170542.0835
564.329523,8.828666667,8321445.435,8220843.377,8343231.933,8112037.871,8009068.861,7474326.666,6719778.852,6784029.118,6447979.895,5221701.384,4825461.629,3710904.112,5114005.986,6335516.017,4033123.37,10075654.62,10475702.65,10583540.09,9393304.508,9244843.619,10081076.23,9492417.598,10494534.91,9701864.893,9540575.892,8082497.438,9353327.875
619.2870994,8.524566667,1759331.705,1767538.29,1874750.164,1819424.003,1749783.708,1604042.179,1409217.36,1420797.038,1368186.828,735633.3545,483280.255,489361.0925,550796.996,917926.5614,438417.8103,1929011.628,2445622.763,2512755.167,1352532.895,1398983.953,1797052.988,1989053.627,2607880.053,2894627.35,2375693.25,2117592.74,1976696.116
220.145142,8.262416667,301667.4014,287668.7869,270247.3835,252888.2019,240106.5432,167689.0787,143373.7253,156860.6236,142825.956,503238.7031,759483.8849,755121.3538,615429.8813,431188.0891,682243.2896,661814.7698,761014.6025,776908.6299,545467.3533,516681.6065,666666.8604,705570.7953,755447.7618,697279.9158,420786.0703,572078.5086,681861.2941
299.929601,5.522833333,163899.7046,145441.1178,149857.0663,144806.7691,145143.0838,105351.7078,97651.26124,98040.29485,86383.38293,73520.03415,65155.92347,68054.63151,55986.35498,48961.43762,47396.42335,78104.38906,59437.18552,63370.0443,51851.70187,51521.17543,40934.26323,65085.60928,55557.50968,64419.24741,55924.86243,53801.26911,43293.62586
